,AcctAge,DDA,DDABal,CashBk,Checks,DirDep,NSF,NSFAmt,Phone,Teller,Sav,SavBal,ATM,ATMAmt,POS,POSAmt,CD,CDBal,IRA,IRABal,LOC,LOCBal,ILS,ILSBal,MM,MMBal,MMCred,MTG,MTGBal,CC,CCBal,CCPurc,SDB,Income,HMOwn,LORes,HMVal,Age,CRScore,Moved,InArea,Ins,Branch,Res,Dep,DepAmt,Inv,InvBal
count,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264.0,32264,32264,32264.0,32264.0,32264.0,32264.0
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,,,,
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4,U,,,,
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5633,12681,,,,
mean,5.779804116042647,0.8156459211505083,2170.0167121249688,0.015962062980411605,4.259918175055789,0.2955616166625341,0.08706298041160426,2.29054642945698,0.35364492933300273,1.3652677907265063,0.4668980907513018,3170.603687081577,0.6099367716340194,1235.4146575130173,0.9378874287131168,42.6587627076618,0.12583684602033227,2530.709149516489,0.053279196627820484,617.5704549962807,0.06338333746590627,1175.2193540788496,0.049590875278948676,517.5692344408628,0.11489585916191421,1875.763192722539,0.056378626332754776,0.04934292090255393,8081.735990267791,0.4212124969005703,8358.520577113812,0.13442226630300025,0.10866600545499629,39.58734192908505,0.6204438383337466,6.915044631787751,110.21104016860897,47.94244359037937,666.5046181502604,0.029630547979171834,0.9602963054797917,0.34636126952640717,,,2.1346082320852964,2232.760182866353,0.02588023803620134,1394.3177715100421
std,6.329250976243603,0.387778690937484,7282.726997787322,0.13136790042910965,5.156642870507155,0.45630187462289523,0.28193169642676935,14.363676603029244,1.1281921427515995,2.283764853841801,0.4989107920820017,13397.14690215378,0.4877717503561784,4462.281901444773,2.7211674684784604,129.0118128289292,0.33167053493231563,14811.780978656254,0.22459315940506866,7516.564819775516,0.24365494055867185,9605.284462929363,0.2171015458828812,2285.1870538616413,0.3189011645728455,5484.479566497201,0.2874842962928031,0.21658635919885516,79794.11551635098,0.493761162676487,76060.09976438902,0.4209147451340851,0.3112245280227304,25.92255140311343,0.4852840209427842,2.578466024381684,19.94254061042806,12.644510565937583,39.96805333688108,0.16956848114909204,0.19526518616356095,0.4758173574746831,,,1.721796941694714,6704.292297166014,0.15878045446410208,53170.75921402967
min,0.3,0.0,-774.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2060.51,0.0,0.0,0.0,0.0,0.5,67.0,16.0,509.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-2214.92
25%,2.1,1.0,59.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,5.0,100.0,40.0,640.0,0.0,1.0,0.0,,,1.0,149.65,0.0,0.0
50%,3.9,1.0,571.8199999999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,136.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,6.5,107.0,48.0,667.0,0.0,1.0,0.0,,,2.0,1103.62,0.0,0.0
75%,6.3,1.0,1834.2325,0.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0,1215.815,1.0,1202.7975000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,218.04999999999998,0.0,0.0,49.0,1.0,8.5,117.0,55.0,693.0,0.0,1.0,1.0,,,3.0,2439.5299999999997,0.0,0.0
max,61.5,1.0,278093.83,4.0,49.0,1.0,1.0,666.85,30.0,27.0,1.0,700026.94,1.0,427731.26,54.0,3293.49,1.0,1053900.0,1.0,596497.6,1.0,523147.24,1.0,29162.79,1.0,120801.11,5.0,1.0,10887573.28,1.0,10641354.78,5.0,1.0,233.0,1.0,19.5,754.0,94.0,820.0,1.0,1.0,1.0,,,28.0,484893.67,1.0,8323796.02
